"spp";"mass";"rbl";"clade";"TS";"TE"
"125";"Urocyon_webbi";0.606;0.567999999999993;"Caninae";6.89830113710074;6.66556759754914
"126";"Vulpes_kernensis";0.598;0.674999999999995;"Caninae";10.9683277451379;10.7278637612983
"127";"Vulpes_lagopus";0.687;0.701448928999989;"Caninae";0.817005455034074;0
"128";"Vulpes_macrotis";0.312;0.676347810169607;"Caninae";0.156921321507289;0
"129";"Vulpes_stenognathus";0.857;0.666644234000005;"Caninae";10.1791303016733;0.693969392769381
"130";"Vulpes_velox";0.342;0.678806756999995;"Caninae";3.33763256014514;0
"131";"Vulpes_vulpes";0.726;0.677982639999991;"Caninae";1.39495069857267;0
"132";"Xenocyon_lycaonoides";1.422;0.697868783999988;"Caninae";1.16190237482247;0.257383449643687
"133";"Xenocyon_texanus";1.499;0.718113207999987;"Caninae";0.951011953601515;0.789821406174077
"134";"Acinonyx_pardinensis";1.41865763550248;0.999522106221282;"Felidae";5.34671947091475;0.163287267298273
"135";"Adelphailurus_kansensis";1.53365768843081;1;"Felidae";9.81443087794808;5.52579065479127
"136";"Amphimachairodus_coloradensis";2.16508102682581;0.986;"Felidae";10.5262609646568;4.90429748879653
"137";"Amphimachairodus_giganteus";2.10114043480876;0.981380224877697;"Felidae";8.7005628847894;3.31206469945957
"138";"Dinofelis_palaeoonca";1.82383924826765;1;"Felidae";4.86217759498852;2.31462796465987
"139";"Felis_lunensis";1.41905117334912;0.999328376952302;"Felidae";2.4112598963743;2.11377610904358
"140";"Felis_silvestris";1.41905117334912;0.999328376952302;"Felidae";3.35690194509742;0
"141";"Homotherium_latidens";1.9634331066849;0.97441541592107;"Felidae";2.95596404837672;0.0212777020927147
"142";"Homotherium_serum";1.95103622574175;1;"Felidae";5.02470565262842;0.0186236455770644
"143";"Hyperailurictis_aeluroides";1.85507902513181;0.971298662254331;"Felidae";15.2582257072861;14.1764476224326
"144";"Hyperailurictis_intrepidus";1.85507902513181;0.97129866225433;"Felidae";18.9596863761437;11.331839266859
"145";"Hyperailurictis_marshi";1.85507902513181;0.97129866225433;"Felidae";16.1076136651998;13.3709114852716
"146";"Hyperailurictis_skinneri";1.85507902513181;0.971298662254331;"Felidae";18.7009150726606;17.619321556746
"147";"Hyperailurictis_stouti";1.85507902513181;0.97129866225433;"Felidae";15.8162806482878;13.6140911024579
"148";"Hyperailurictis_validus";1.85507902513181;0.971298662254331;"Felidae";19.7700571691573;13.4233432315975
"149";"Leopardus_amnicola";1.4257746420763;0.99932964725745;"Felidae";1.01056501040539;0.00311454075685488
"150";"Leopardus_pardalis";1.4257746420763;0.99932964725745;"Felidae";0.501269017480241;0
"151";"Lynx_canadensis";1.24684213098312;0.999663481972774;"Felidae";1.42399905149693;0
"152";"Lynx_issiodorensis";1.23725238808109;0.999697583762411;"Felidae";5.62748806117126;0.212317739068772
"153";"Lynx_longignathus";1.4434023106383;1;"Felidae";8.26279525450287;7.5009622695737
"154";"Lynx_lynx";1.24684213098312;0.999663481972774;"Felidae";4.24731760299724;0
"155";"Lynx_pardinus";1.24684213098312;0.999663481972774;"Felidae";3.00919306465897;0
"156";"Lynx_proterolyncis";1.04512730656803;1;"Felidae";9.64669002876187;5.86078509827733
"157";"Lynx_rufus";0.872097974274227;1;"Felidae";4.66038057998931;0
"158";"Megantereon_cultridens";1.96193137299071;0.944004275665852;"Felidae";5.38575714926719;0.263676333911388
"159";"Megantereon_hesperus";1.96193137299071;0.944004275665852;"Felidae";10.1767990274423;2.4544344071844
"160";"Megantereon_nihowanensis";1.96193137299071;0.944004275665852;"Felidae";1.2967366794023;1.10693883140967
"161";"Megantereon_whitei";1.96193137299071;0.944004275665852;"Felidae";4.9014117232783;0.810511601762786
"162";"Metailurus_parvulus";1.94328763203049;0.945066946698692;"Felidae";11.083510850027;5.60845078048346
"163";"Miracinonyx_inexpectatus";1.66492389343808;1;"Felidae";4.72757160197012;0.0343864183930919
"164";"Miracinonyx_trumani";1.57926899576177;1;"Felidae";4.59965505977292;0.0247696354837423
"165";"Neofelis_nebulosa";1.53227745208408;0.997755831949086;"Felidae";0.162635891947497;0
"166";"Nimravides_catacopsis";1.97897037906739;0.925781432130111;"Felidae";10.0684394019354;5.71747249877843
"167";"Nimravides_pedionomus";1.95925133011169;0.928;"Felidae";13.3244670561749;10.7943565570961
