"";"Taxon";"Region";"MinAge";"MaxAge";"Locality";"max.age";"min.age"
"77";"Torynobelodon barnumbrowni";"North America";10,3;12,4;"Platybelodon Quarry_siteSet_1";12,4;10,3
"78";"Serbelodon barbourensis";"North America";10,3;12,4;"Xmas Quarry_siteSet_1";12,4;10,3
"79";"Pediolophodon campester";"North America";9;12,1;"Central Great Plains CP116B_siteSet_1";12,1;9
"80";"Gnathabelodon buckneri";"North America";10,1;12,1;"Gulf Coast GC6A_siteSet_1";12,1;10,1
"81";"Megabelodon minor";"North America";10,1;12,1;"Gulf Coast GC6B_siteSet_1";12,1;10,1
"82";"Konobelodon robustus";"Asia";9,7;11,5;"Guonigou (LX200042) - Liushu Fm_siteSet_1";11,5;9
"83";"Paratetralophodon exoletus";"Asia";9,5;11,2;"Guonigou_siteSet_1";11,2;5,3
"84";"Choerolophodon anatolicus";"Asia";9;11,2;"Sinap 45_siteSet_1";11,2;9
"85";"Stegolophodon stegodontoides";"Asia";6;10;"Irrawaddy 1_siteSet_2";10;2,6
"86";"Deinotherium bozasi";"Africa";9,7;9,9;"Nakali_siteSet_1";9,9;1,15
"87";"Konobelodon atticus";"Asia";9;9,5;"Yulafli (CY)_siteSet_1";9,5;5,3
"88";"Tetralophodon euryrostris";"Asia";9;9,5;"Linxia Basin (locality unknown)_siteSet_1";9,5;9
"89";"Rhynchotherium tlascalae";"North America";7,6;9;"Central America CA10_siteSet_1";9;1,9
"90";"Torynobelodon loomisi";"North America";4,9;9;"Central Great Plains CP116II_siteSet_1";9;4,9
"91";"Amebelodon floridanus";"North America";7,6;9;"Central Great Plains CP123C_siteSet_1";9;4,9
"92";"Gnathabelodon thorpei";"North America";7,6;9;"Central Great Plains CP123C_siteSet_1";9;7,6
"93";"Anancus lehmanni";"Europe";8,2;9;"Dorn Dürkheim 1_siteSet_1";9;7
"94";"Anancus sinensis";"Asia";5,3;9;"Guide-heerjia_siteSet_1";9;2,433
"95";"Konobelodon britti";"North America";7,6;9;"Gulf Coast GC10D_siteSet_1";9;5,9
"96";"Paratetralophodon hasnotensis";"Asia";5,3;9;"Huachi_siteSet_1";9;5,3
"97";"Deinotherium proavum";"Asia";8,2;9;"Kayadibi_siteSet_1";9;6,9
"98";"Mammut borsoni";"Europe";5,3;9;"Morskaya 2_siteSet_1";9;1,95
"99";"Amebelodon fricki";"North America";7,6;9;"Northern Great Plains NP45_siteSet_1";9;6,8
"100";"Stegotetrabelodon syrticus";"Asia";5,3;9;"Ruwais_siteSet_1";9;5,3
"101";"Sinomammut tobieni";"Asia";5,3;9;"Yanghecun (above Xihanshui group)_siteSet_1";9;5,3
"102";"Anancus kenyensis";"Africa";6,54;7,44;"Lower Nawata (Lothagam)_siteSet_1";7,44;1,785
"103";"Primelephas korotorensis";"Africa";6,54;7,44;"Lower Nawata (Lothagam)_siteSet_1";7,44;2,6
"104";"Stegotetrabelodon orbus";"Africa";6,54;7,44;"Lothagam-Lower Nawata Mb._siteSet_1";7,44;4,2
"105";"Stegodon zdanskyi";"Asia";5,3;7,2;"Xili_siteSet_1";7,2;2,6
"106";"Mammut obliquelophus";"Europe";6,9;7,2;"Samos Main Bone Beds_siteSet_1";7,2;5,3
"107";"Mammuthus subplanifrons";"Africa";5,3;7,1;"Albertine 1_siteSet_1";7,1;3,6
"108";"Stegodon kaisensis";"Africa";5,3;7,1;"Albertine 1_siteSet_1";7,1;2,91
"109";"Konobelodon cyrenaicus";"Africa";5,3;7,1;"Sahabi_siteSet_1";7,1;5,3
"110";"Anancus osiris";"Africa";5,3;7,1;"Wadi Natrun_siteSet_1";7,1;1,6
"111";"Anancus petrocchii";"Africa";5,3;7,1;"Sahabi_siteSet_1";7,1;5,3
"112";"Sinomastodon praeintermedius";"Asia";6;6,5;"Shuitangba_siteSet_1";6,5;6
"113";"Stegodibelodon schneideri";"Africa";5,2;6,48;"Middle Awash - Adu mbr._siteSet_1";6,48;3,6
