"species","RBL","RLGA","M1BS","M2S","p4S"
"Osbornodon_iamonensis",0.686776011999996,0.797434483999986,0.0984823755945559,0.437291404000006,0.517527647000005
"Osbornodon_renjiei",0.622498625000004,0.930211472999988,0.0802002789634184,0.432856252000006,0.445046488999995
"Osbornodon_scitulus",0.678194970727045,0.815703905763636,0.0943377376520207,0.425722318109621,0.470582287993539
"Osbornodon_sesnoni",0.64401438300001,0.896001361000003,0.0834940604551971,0.463265870999991,0.416764844999993
"Otarocyon_cooki",0.619541873999994,1.03557294200002,0.0783164220000003,0.496442458999991,0.534801162999998
"Otarocyon_macdonaldi",0.630293159999995,0.957049574000022,0.0892939550000012,0.459011863000001,0.536516854000007
"Oxetocyon_cuspidatus",0.600000000000011,1.0625247372721,0.0805595714459132,0.490749118668416,0.491778769323675
"Paracynarctus_kelloggi",0.649744232999989,1.01772557000002,0.094696736249615,0.530661372,0.510366535999995
"Paracynarctus_sinclairi",0.693281132000005,0.840330118195311,0.107694440447734,0.46214740699999,0.537344398000003
"Paraenhydrocyon_josephi",0.710000000000004,0.737396861999998,0.0925050099999977,0.523368752000007,0.472892662999994
"Paraenhydrocyon_robustus",0.702999999999985,0.745295558318814,0.0943069239226579,0.428214378909962,0.492434676742603
"Paraenhydrocyon_wallovianus",0.709179778000012,0.72181560599999,0.091080563999999,0.383836013000006,0.504647933999993
"Paratomarctus_euthos",0.677406161000012,0.777572935999991,0.114500733,0.396046538000004,0.559465697
"Paratomarctus_temerarius",0.663454254000003,0.832914123000015,0.107450255000002,0.425960984000011,0.549440984999996
"Philotrox_condoni",0.735813369,0.726908780000001,0.110738440105243,0.399462008999994,0.504786351999997
"Phlaocyon_achoros",0.650999999999996,0.937393731678882,0.0957744559272948,0.476172676658307,0.503881703530611
"Phlaocyon_annectens",0.62433487800001,0.922024701000023,0.0901847432814624,0.434387538000007,0.48344327500001
"Phlaocyon_latidens",0.57988165699999,1.10963183,0.078017709532039,0.49494485999999,0.484517304000005
"Phlaocyon_leucosteus",0.651678034999998,1.02952667099999,0.0984233890000006,0.558136305,0.595567962000008
"Phlaocyon_mariae",0.652417117558568,0.913139966238323,0.101967571366848,0.441827387881042,0.578657303634315
"Phlaocyon_marslandensis",0.58,1.21908166399999,0.0819003161073426,0.52838900699999,0.590439275999993
"Phlaocyon_minor",0.628873511000006,1.02074360799998,0.0913107650000017,0.531606762000011,0.459703434999995
"Phlaocyon_multicuspus",0.644078212002622,0.950709357202233,0.0951669683979614,0.471822888727889,0.515462476295166
"Phlaocyon_yatkolai",0.600000000000011,1.06876309648824,0.0867741504373321,0.483466584685495,0.545906107143997
"Protepicyon_raki",0.723186658000001,0.684894269999983,0.129693451999999,0.381247008999996,0.591397422999992
"Protocyon_troglodytes",0.706710872167115,0.687522532912827,0.115747722208304,0.365898771349935,0.473322823451321
"Protomarctus_optatus",0.672000000000015,0.831445251999987,0.101172418999998,0.442930083000006,0.510223071999988
"Psalidocyon_marianae",0.671689406999998,0.818567840000012,0.110903813999998,0.439605067000002,0.505845362999994
"Rhizocyon_oregonensis",0.658000000000007,0.966519248000024,0.0912052120000009,0.45193528700001,0.450491326000006
"Sunkahetanka_geringensis",0.698278675999983,0.735467018999998,0.105700237999998,0.406748686000001,0.578219534000015
"Tephrocyon_rurestris",0.721999999999988,0.689225737476797,0.120016268665542,0.399939626419753,0.551557912409915
"Tomarctus_brevirostris",0.706134622000003,0.730934939999998,0.120890923999998,0.391687853999997,0.544056725000008
"Tomarctus_hippophaga",0.674064290000006,0.878299885000015,0.108961925000002,0.455050615000004,0.563759452
"Urocyon_citrinus",0.62808643300001,1.080324897,0.0891659994046728,0.528839838000006,0.468111077000003
"Urocyon_galushai",0.598656536803936,1.09968827061779,0.0789624975898261,0.518918754000012,0.382499999999994
"Urocyon_minicephalus",0.55118110199999,1.2136640196384,0.07024044927931,0.527986776079162,0.427777778000005
"Urocyon_progressus",0.616198439147051,1.00822067481485,0.0857657276326728,0.479632179349932,0.418209412216721
"Urocyon_webbi",0.567999999999993,1.14258363223569,0.0732791470754271,0.506729649743109,0.403981370666181
"Vulpes_kernensis",0.674999999999995,0.797789206199254,0.0992525411162283,0.431354909338416,0.396735799117802
"Vulpes_macrotis",0.676347811828444,0.772494744078832,0.0976496402387364,0.434992639448872,0.394975860143012
"Vulpes_stenognathus",0.666644234000005,0.800658255000003,0.102785678999997,0.418013255999996,0.371811034000002
"Xenocyon_lycaonoides",0.697868783999988,0.714715498000001,0.110614820607519,0.391885926999993,0.467068119262956
"Xenocyon_texanus",0.718113207999987,0.649168447999997,0.1170922339006,0.347948266000003,0.481976744000005
