"Species","MaxT","MinT","lng","lat","Site"
"Paraenhydrocyon_wallovianus",23.1,18.5,-104.400002,42.619999,17833
"Phlaocyon_minor",23.1,18.5,-104.400002,42.619999,17833
"Desmocyon_thomsoni",23.1,18.5,-104.400002,42.619999,17833
"Phlaocyon_minor",23.1,18.5,-104.199997,42,17835
"Desmocyon_thomsoni",23.1,18.5,-104.199997,42,17835
"Phlaocyon_leucosteus",23.1,18.5,-83,30.299999,17837
"Phlaocyon_minor",23.1,18.5,-104.5,43,17838
"Desmocyon_thomsoni",23.1,18.5,-104.5,43,17838
"Desmocyon_thomsoni",23.1,18.5,-104.199997,42,17839
"Phlaocyon_leucosteus",23.1,18.5,-103.099998,42.200001,17842
"Cynarctoides_acridens",23.1,18.5,-107,35.700001,17844
"Paraenhydrocyon_wallovianus",23.1,18.5,-103.800003,42.400002,17846
"Desmocyon_thomsoni",23.1,18.5,-103.800003,42.400002,17846
"Cynarctoides_acridens",23.1,18.5,-103.800003,42.400002,17846
"Phlaocyon_minor",23.1,18.5,-103.800003,42.400002,17846
"Desmocyon_thomsoni",23.1,18.5,-104.199997,42,17847
"Desmocyon_thomsoni",23.1,18.5,-104.199997,42,17848
"Desmocyon_thomsoni",23.1,18.5,-104.199997,42,17850
"Cynarctoides_harlowi",23.1,18.5,-104.5,43,17854
"Phlaocyon_minor",23.1,18.5,-104.5,43,17854
"Phlaocyon_annectens",23.1,18.5,-104.5,43,17854
"Metatomarctus_canavus",18.5,16.3,-103.099998,42.799999,17864
"Ectopocynus_simplicidens",18.5,16.3,-102.01667,42.75,17865
"Cynarctoides_acridens",18.5,16.3,-102.01667,42.75,17865
"Phlaocyon_leucosteus",18.5,16.3,-102.01667,42.75,17865
"Phlaocyon_mariae",18.5,16.3,-102.01667,42.75,17865
"Desmocyon_matthewi",18.5,16.3,-102.01667,42.75,17865
"Protomarctus_optatus",18.5,16.3,-103.800003,42.400002,17872
"Paracynarctus_kelloggi",18.5,16.3,-103.099998,42.799999,17873
"Cynarctoides_acridens",18.5,16.3,-103.099998,42.799999,17874
"Phlaocyon_marslandensis",18.5,16.3,-103.099998,42.200001,17875
"Cynarctoides_acridens",16.3,12.5,-103.800003,42.400002,17880
"Paracynarctus_sinclairi",16.3,12.5,-103.800003,42.400002,17880
"Tomarctus_hippophaga",16.3,12.5,-103.800003,42.400002,17880
"Tomarctus_brevirostris",16.3,12.5,-103.800003,42.400002,17880
"Osbornodon_iamonensis",18.5,16.3,-103.099998,41.700001,17881
"Cynarctoides_acridens",18.5,16.3,-103.099998,41.700001,17881
"Desmocyon_thomsoni",18.5,16.3,-103.099998,41.700001,17881
"Metatomarctus_canavus",18.5,16.3,-103.099998,41.700001,17881
"Phlaocyon_leucosteus",18.5,16.3,-104.199997,42,17886
"Phlaocyon_marslandensis",18.5,16.3,-102.5,42.700001,17888
"Metatomarctus_canavus",18.5,16.3,-102.5,42.700001,17888
"Protomarctus_optatus",18.5,16.3,-103.800003,42.400002,17890
"Ectopocynus_simplicidens",18.5,16.3,-103.099998,42.799999,17891
"Cynarctoides_acridens",18.5,16.3,-103.099998,42.799999,17891
"Phlaocyon_leucosteus",18.5,16.3,-103.099998,42.799999,17891
"Desmocyon_matthewi",18.5,16.3,-103.099998,42.799999,17891
"Tomarctus_brevirostris",18.5,16.3,-104.199997,40.799999,17893
"Desmocyon_thomsoni",18.5,16.3,-103.099998,42.799999,17894
"Osbornodon_iamonensis",18.5,16.3,-103.099998,42.200001,17896
"Cynarctoides_acridens",18.5,16.3,-103.099998,42.200001,17896
"Metatomarctus_canavus",18.5,16.3,-103.099998,42.200001,17896
"Cynarctoides_acridens",18.5,16.3,-103.099998,42.799999,17898
"Leptocyon_vulpinus",18.5,16.3,-103.099998,42.799999,17898
"Desmocyon_thomsoni",18.5,16.3,-103.099998,42.200001,17899
"Tomarctus_hippophaga",16.3,12.5,-103.800003,42.400002,17903
"Tomarctus_brevirostris",16.3,12.5,-103.800003,42.400002,17903
"Microtomarctus_conferta",16.3,12.5,-103.800003,42.400002,17904
"Tomarctus_hippophaga",16.3,12.5,-103.800003,42.400002,17904
"Tomarctus_brevirostris",16.3,12.5,-103.800003,42.400002,17904
"Osbornodon_fricki",16.3,12.5,-103.732651,42.1856,17905
"Leptocyon_leidyi",16.3,12.5,-103.732651,42.1856,17905
"Euoplocyon_brachygnathus",16.3,12.5,-103.732651,42.1856,17905
"Psalidocyon_marianae",16.3,12.5,-103.732651,42.1856,17905
"Microtomarctus_conferta",16.3,12.5,-103.732651,42.1856,17905
"Tomarctus_hippophaga",16.3,12.5,-103.732651,42.1856,17905
"Tomarctus_brevirostris",16.3,12.5,-103.732651,42.1856,17905
"Cynarctoides_acridens",18.5,16.3,-103.099998,42.799999,17906
"Desmocyon_matthewi",18.5,16.3,-103.099998,42.799999,17906
"Metatomarctus_canavus",18.5,16.3,-103.099998,42.799999,17906
"Microtomarctus_conferta",18.5,16.3,-104.199997,40.799999,17908
"Tomarctus_brevirostris",18.5,16.3,-104.199997,40.799999,17908
"Aelurodon_asthenostylus",18.5,16.3,-104.199997,40.799999,17908
"Tomarctus_hippophaga",18.5,16.3,-103.099998,42.799999,17909
"Tomarctus_hippophaga",16.3,12.5,-103.800003,42.400002,17911
"Microtomarctus_conferta",16.3,12.5,-103.800003,42.400002,17911
"Osbornodon_fricki",18.5,16.3,-103.099998,42.799999,17917
"Cynarctoides_acridens",18.5,16.3,-103.099998,42.799999,17917
"Protomarctus_optatus",18.5,16.3,-103.099998,42.799999,17917
"Protomarctus_optatus",18.5,16.3,-103.099998,42.799999,17918
"Tomarctus_hippophaga",16.3,12.5,-103.800003,42.400002,17919
"Osbornodon_fricki",18.5,16.3,-103.800003,42.400002,17920
"Cynarctoides_acridens",18.5,16.3,-103.800003,42.400002,17920
"Protomarctus_optatus",18.5,16.3,-103.800003,42.400002,17920
"Cynarctoides_acridens",18.5,16.3,-103.099998,42.799999,17923
"Desmocyon_thomsoni",18.5,16.3,-103.099998,42.799999,17924
"Cynarctoides_acridens",18.5,16.3,-103.099998,42.799999,17927
"Desmocyon_matthewi",18.5,16.3,-103.099998,42.799999,17927
"Desmocyon_matthewi",18.5,16.3,-103.099998,42.799999,17928
"Cynarctoides_acridens",18.5,16.3,-103.099998,42.200001,17929
"Cynarctoides_acridens",18.5,16.3,-103.099998,42.200001,17932
"Phlaocyon_marslandensis",18.5,16.3,-103.099998,42.200001,17932
"Desmocyon_matthewi",18.5,16.3,-103.099998,42.200001,17932
"Metatomarctus_canavus",18.5,16.3,-103.099998,42.200001,17932
"Cynarctoides_acridens",18.5,16.3,-103.099998,42.200001,17934
"Cynarctoides_emryi",18.5,16.3,-103.099998,42.200001,17934
"Metatomarctus_canavus",18.5,16.3,-103.099998,42.200001,17934
"Metatomarctus_canavus",18.5,16.3,-103.099998,42.200001,17935
"Metatomarctus_canavus",18.5,16.3,-103.099998,42.200001,17936
"Metatomarctus_canavus",18.5,16.3,-103.099998,42.200001,17938
"Cynarctoides_acridens",18.5,16.3,-103.099998,42.200001,17940
"Metatomarctus_canavus",18.5,16.3,-103.099998,42.200001,17942
"Phlaocyon_marslandensis",18.5,16.3,-103.099998,42.200001,17948
"Metatomarctus_canavus",18.5,16.3,-103.099998,42.200001,17948
"Phlaocyon_marslandensis",18.5,16.3,-103.099998,42.200001,17949
"Metatomarctus_canavus",18.5,16.3,-103.099998,42.200001,17950
"Osbornodon_fricki",18.5,16.3,-103.800003,42.400002,17952
"Protomarctus_optatus",18.5,16.3,-103.800003,42.400002,17952
"Osbornodon_fricki",16.3,12.5,-103.800003,42.400002,17955
"Cynarctoides_acridens",16.3,12.5,-103.800003,42.400002,17955
"Paracynarctus_sinclairi",16.3,12.5,-103.800003,42.400002,17955
"Euoplocyon_brachygnathus",16.3,12.5,-103.800003,42.400002,17955
"Psalidocyon_marianae",16.3,12.5,-103.800003,42.400002,17955
"Microtomarctus_conferta",16.3,12.5,-103.800003,42.400002,17955
"Tomarctus_hippophaga",16.3,12.5,-103.800003,42.400002,17955
"Tomarctus_brevirostris",16.3,12.5,-103.800003,42.400002,17955
"Tomarctus_hippophaga",16.3,12.5,-103.800003,42.400002,17956
"Tomarctus_brevirostris",16.3,12.5,-103.800003,42.400002,17956
"Osbornodon_fricki",18.5,16.3,-103.800003,42.400002,17961
"Cynarctoides_acridens",18.5,16.3,-103.800003,42.400002,17961
